Identifiant;Nom générique;Nom de la manifestation;Descriptif court;Descriptif long;Date début;Date fin;Horaires;Dates affichage - horaires;Modification dernière minute;Lieu - nom;Lieu - adresse 1;Lieu - adresse 2;Lieu - adresse 3;Code postal;Commune;Type de manifestation;Catégorie de la manifestation;Thème de la manifestation;Station métro/Tram à proximité;GoogleMap latitude;GoogleMap longitude;Réservation téléphone;Réservation email;Réservation site internet;Manifestation gratuite;Tarif normal;Tarif enfant;Tranche âge enfant
"FMAMID031V502AMA";"";"100 VIOLONS TZIGANES";"Le célèbre Orchestre des 100 Violons tziganes restitue, sous la plus époustouflante virtuosité, l'âme de tout un peuple ! ";"Instinctif comme une veillée populaire gitane, rigoureux comme un concert viennois, en smoking noir ou en costume traditionnel, l’Orchestre donne autant à voir qu’à écouter. Un véritable enchantement ! Un programme brillantissime qui mêle la tradition du violon hongrois et des œuvres de Khatchatourian, De Sarasate, Brahms, Strauss, Bizet… Le tout magistralement interprété, sans partition, par 100 musiciens tziganes venus de Budapest, tous virtuoses et fascinants. Ils vous emportent dans l’énergie et l’émotion de ce peuple qui a choisi la musique comme langue universelle et la liberté comme seul guide…";"11/06/2014";"11/06/2014";"A 20h30.";"Le 11/06/2014 - A 20h30.";"";"CASINO THEATRE BARRIERE ";"Ile du Ramier";"Chemin de la Loge";"";"31000";"TOULOUSE";"Musique";"Spectacle";"Musical, Musique du monde";"";"43.5738840";"1.4346580";"05 61 33 37 77 ";"";"www.lucienbarriere.com";"";"";"";""
"FMAMID031V504TCN";"";"11/11/11 A 11:11 ETONNANT, NON ?";"C’est un spectacle avec des textes de Desproges, des chansons de Desproges, des aphorismes de Desproges, des silences de Desproges, des photos de Desproges, mais pas avec Desproges parce qu’il est mort il y a 26 ans.";"C’est un spectacle avec des textes de Desproges, des chansons de Desproges, des aphorismes de Desproges, des silences de Desproges, des photos de Desproges, mais pas avec Desproges parce qu’il est mort il y a 26 ans. Dans tous les cas c’est une réussite totale en ce sens qu’au bout de 10 min on arrête de se dire que ce serait mieux avec lui pour profiter simplement de Tom Pozieux et d’Alexis Gorbachevsky. Qui font bien mieux que lui rendre hommage. Et s’il est pas content, le père Desproges, il a qu’à le dire !

L’auteur de ces lignes est un fan de Desproges. Il a vu le spectacle en se disant que ce ne serait pas bien. Il en est ressorti enchanté et le sourire aux lèvres pour longtemps. C’est tout ce que j’ai à dire.";"17/12/2013";"21/12/2013";"Du mardi au samedi à 21h.";"Du 17/12/2013 au 21/12/2013 - Du mardi au samedi à 21h.";"";"THEATRE DU GRAND ROND";"";"23 rue des Potiers";"";"31000";"TOULOUSE";"";"Spectacle, Théâtre";"Comique";"François Verdier";"43.5986573";"1.45395459";"05 61 62 14 85 ";"";"www.grand-rond.org";"";"De 6,00 € à 12,00 €";"";""
"FMAMID031V503Z2C";"";"1er DIMANCHE DU MOIS - JOURNEE SANS VOITURE DANS LE COEUR HISTORIQUE DE LA VILLE ET MUSEES GRATUITS ";"Journée sans voiture et musées gratuits.";"Les Musées concernés sont : Musée des Augustins, Musée Paul Dupuy, Musée Georges Labit, Musée Saint-Raymond, Museum d'Histoire Naturelle, Les Abattoirs, Les Jacobins; les expositions temporaires sont payantes.

Journée sans voiture dans le coeur historique. Le périmètre concerné est délimité par le quai Lombard, le quai de la Daurade, la rue de Metz, la rue d'Alsace-Lorraine, la rue Bellegarde, Saint-Sernin, la rue Lautmann et la rue Valade. Cette zone ne sera donc pas ouverte à la circulation des véhicules, à l'exception des résidents, des taxis, des secours et urgences médicales. Le parking du Capitole ne sera pas accessible entre 10h et 18h. Les résidents pourront sortir du secteur concerné avec leur véhicule stationné dans un parking public, privé, ou dans la rue.";"01/12/2013";"01/12/2013";"";"Le 01/12/2013";"";"DIVERS LIEUX";"";"";"";"31000";"TOULOUSE";"Culturelle, Insolite";"Animations, Balade";"Musée";"Capitole";"43.6046256";"1.4442050";"";"";"www.toulouse.fr";"Oui";"";"";"+ 12 ans  /  0 - 3 ans  /  4 - 7 ans  /  8 - 12 ans"
"FMAMID031V503Z2B";"";"1er DIMANCHE DU MOIS - JOURNEE SANS VOITURE DANS LE COEUR HISTORIQUE DE LA VILLE ET MUSEES GRATUITS  ";"Journée sans voitures et musées gratuits.";"Les Musées concernés sont : Musée des Augustins, Musée Paul Dupuy, Musée Georges Labit, Musée Saint-Raymond, Museum d'Histoire Naturelle, Les Abattoirs, Les Jacobins; les expositions temporaires sont payantes.

Journée sans voiture dans le coeur historique. Le périmètre concerné est délimité par le quai Lombard, le quai de la Daurade, la rue de Metz, la rue d'Alsace-Lorraine, la rue Bellegarde, Saint-Sernin, la rue Lautmann et la rue Valade. Cette zone ne sera donc pas ouverte à la circulation des véhicules, à l'exception des résidents, des taxis, des secours et urgences médicales. Le parking du Capitole ne sera pas accessible entre 10h et 18h. Les résidents pourront sortir du secteur concerné avec leur véhicule stationné dans un parking public, privé, ou dans la rue.";"03/11/2013";"03/11/2013";"";"Le 03/11/2013";"";"DIVERS LIEUX";"";"";"";"31000";"TOULOUSE";"Culturelle, Insolite";"Animations";"Musée";"";"43.6046256";"1.4442050";"";"";"";"";"";"";""
"FMAMID031V502AG2";"";"1ER FESTIVAL INTERNATIONAL DE MAGIE";"Venez découvrir le premier festival entièrement dédié à la magie. Au programme, des artistes de renommée internationale pour 2 heures de show des plus époustouflants !";"Les plus grands talents de la magie de scène seront présents : Florian Sainvet (Champion de France dans ce domaine), Huang Zheng (déjà vu dans Le Plus Grand Cabaret du Monde), Jonicoel (spécialiste du grand illusionnisme avec des fauves), Erwan (l’amoureux des colombes), Les Volantis (professionnels de la grande illusion et du quick change), le magicien comique Arsène, Xavier et son numéro de force, le délirant Mickael Szaniel, et Patrice Curt (maître de cérémonie et grand prestidigitateur). Un spectacle tout simplement magique, à voir en famille ou entre amis.";"17/05/2014";"17/05/2014";"A 20h30.";"Le 17/05/2014 - A 20h30.";"";"CASINO THEATRE BARRIERE ";"Ile du Ramier";"Chemin de la Loge";"";"31000";"TOULOUSE";"";"Spectacle";"";"";"43.5738840";"1.4346580";"05 61 33 37 77 ";"";"www.lucienbarriere.com";"";"";"";""
"FMAMID031V504WYZ";"";"30 ANS DE L'AAE : SEANCE SOLENNELLE";"Organisation le vendredi 29 novembre 2013 par l'Académie de l’Air et de l’Espace d’une séance solennelle qui revêtira un faste particulier à l'occasion de son trentième anniversaire.";"Organisation le vendredi 29 novembre 2013 par l'Académie de l’Air et de l’Espace d’une séance solennelle qui revêtira un faste particulier à l'occasion de son trentième anniversaire. La	séance gardera cependant l'essentiel de sa trame	traditionnelle avec : le rapport moral du président, la présentation du nouveau Bureau et des nouveaux Membres, la remise des Prix et Médailles, une conférence publique, l'intervention du député-maire de Toulouse et se terminera autour du traditionnel cocktail offert par la Mairie de Toulouse.";"29/11/2013";"29/11/2013";"";"Le 29/11/2013";"";"HÔTEL DE VILLE LE CAPITOLE";"";"Place du Capitole";"";"31000";"TOULOUSE";"Sports et loisirs";"Animations, Sport";"Sports aériens";"Capitole";"43.6044455";"1.4439342";"";"";"www.academie-air-espace.com";"Oui";"";"";""
"FMAMID031V501EIB";"";"5 ET 2";"Exposition.";"Une exposition céramiques-peintures se tiendra à la Galerie de l'Echarpe à Toulouse du 4 au 16 novembre.";"04/11/2013";"16/11/2013";"Du lundi au samedi, de 11h à 19h.";"Du 04/11/2013 au 16/11/2013 - Du lundi au samedi, de 11h à 19h.";"";"GALERIE DE L'ECHARPE";"";"18 Rue Peyrolières ";"";"31000";"TOULOUSE";"Culturelle";"Exposition";"Art contemporain, Céramique";"Capitole";"43.6003665";"1.4408876";"";"";"";"Oui";"";"";""
"FMAMID031V504VE9";"";"A L'EAU";"Spectacle performatif. ";"Je dis qui sommes-nous ? Nous disons qui suis-je, qui sommes-je, en sommes, nous disons, et qui songe en nous et agit.";"07/03/2014";"07/03/2014";"A 20h30.";"Le 07/03/2014 - A 20h30.";"";"THEATRE LE VENT DES SIGNES ";"";"6 Impasse de Varsovie";"";"31000";"TOULOUSE";"";"Spectacle";"Performance";"Saint-Cyprien République";"43.5970006";"1.4291924";"05 61 42 10 70  ";"";"www.leventdessignes.com";"";"De 10,00 € à 13,00 €";"";""
"FMAMID031V501N54";"";"A PLACE TO BURY STRANGERS";"Style : rock/noise. ";"Style : rock/noise. Ils sont détenteurs du titre du ""groupe qui joue le plus fort à New-York"". Et si on leur décernait la mention du ""groupe qui joue le plus fort en France"" ? Après une Boule Noire complète en avril 2012, A PLACE TO BURY STRANGERS seront en tournée dans l'Hexagone à partir du mois de septembre et passeront le mercredi 6 novembre à la Dynamo de Toulouse !
Originaires de New-York, APTBS sont les dignes héritiers de Joy Division et Ian Curtis. Principalement influencés par The Jesus & Mary Chain ou encore The Cure, le trio se fait connaître avec un premier album éponyme sorti en 2007. Le groupe enchaîne une tournée avec Black Rebel Motorcycle Club, Nine Inch Nails, My Bloody Valentine et en 2009, Exploding Head sort dans les bacs : l'opus concentre basses lourdes et rythmes métalliques et n'est pas sans rappeler l'esthétique gothique et industrielle de Suicide ou Bauhaus. Dans un registre encore plus sombre, APTBS sortent en 2012 Workship. L'opus est moins brut que ses prédécesseurs et les mélodies sont plus soignées.

http://aptbs.tumblr.com/
https://myspace.com/aplacetoburystrangers
https://www.facebook.com/aplacetoburystrangers";"06/11/2013";"06/11/2013";"A 20h30.";"Le 06/11/2013 - A 20h30.";"";"LA DYNAMO / CAFE CULTURE";"";"6 Rue Amélie ";"";"31000";"TOULOUSE";"Musique";"Concert";"Pop musique (rock...)";"Jean-Jaurès";"43.6054680";"1.4554861";"";"";"www.lebikini.com";"";"De 20,50 € à 22,00 €";"";""
"FMAMID031V502MOI";"";"ABLAYE CISSOKO + VOLKER GOETZE";"Amanke Dionti, second album du duo, est le fruit d’une collaboration, d’une réelle amitié et d’une fascination mutuelle, née en 2009, entre les deux artistes.";"L’un est un trompettiste allemand, résidant à New-York, l’autre est un joueur de Kora, descendant d’une famille de grios. Né d’un dialogue complice et bienveillant, cet album, savant mélange d’un jazz improvisé avec Volker Goetze, et de musique mandingue, avec la kora et la voix d’Abblaye Cissoko.

 

Sorte de méditation lorsqu’ils jouent ensemble, c’est une musique de l’âme, empreinte de réalité et d’une grande pureté, avec un émouvant hommage à Haïti et une évocation de la condition des jeunes filles en Afrique de l’Ouest.

Ils partagent une envie d’aller au-delà des frontières établies entre modernité et tradition maldingue, univers urbain et espace africain. C’est une alliance rare, un mariage heureux entre deux mondes, unis dans la même sérénité, ils nous livrent une musique en apesanteur.";"23/01/2014";"23/01/2014";"A 20h30.";"Le 23/01/2014 - A 20h30.";"";"SALLE NOUGARO";"";"20 Chemin de Garric ";"";"31000";"TOULOUSE";"Musique";"Concert";"Musique du monde";"";"43.6216211";"1.4091146";"0 892 390 100 (0,34 euros/min)  CULTURA - AUCHAN - E LECLERC";"";"www.fnac.com www.sallenougaro.com";"";"De 9,00 € à 15,00 €";"";""
