ANNEE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIREE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Adrian Veidt;;;06/12/2012;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2012;;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Agent Side Grinder;;;07/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;Suède;;;;;;;;2005;2007;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Alphabet;;TournÈe des Trans;15/11/2012;Ubu;Rennes;TournÈe des Trans;16/11/2012;La Citrouille;Saint-Brieuc;KalÈidoscope;23/11/2012;ThÈâtre de Poche;HÈdÈ;TournÈe des Trans;01/12/2012;Le Normandy;Saint-Lô;;08/12/2012;L'Etage;Rennes;France;;;;Rennes;;;;2011;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Archipel;;;09/12/2012;Ubu;Rennes;;;;;;;;;;;;;;;;;France;;;;;;;;2012;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Astrodynamics;;TournÈe des Trans;24/11/2012;Le Coatelan;Morlaix;;07/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;France;;;;Rennes;;;;2008;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Attaque;;;08/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Colchester;;;;2011;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Avondale Airforce;;;08/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;Etats-Unis;;;;;;;;2009;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Babe;;;09/12/2012;Ubu;Rennes;;;;;;;;;;;;;;;;;France;Royaume-Uni;;;;;;;2010;;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Baloji;;;08/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;Belgique;Congo;;;;;;;2006;2008;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Barnt;;;08/12/2012;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;Allemagne;;;;Cologne;;;;2010;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Birth of Joy;;;07/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;Pays-Bas;;;;;;;;2008;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Black Strobe;;;08/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;France;;;;Montpellier;;;;1997;1997;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Blackbelt Andersen;;;07/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;Norvège;;;;;;;;;2001;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Botibol;High On Democracy;;06/12/2012;Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;;;;;France;;;;;;;;2006;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Bow Low;;TournÈe des Trans;01/12/2012;Le Normandy;Saint-Lô;Focus;06/12/2012;L'Etage;Rennes;;;;;;;;;;;;;France;;;;Caen;;;;2005;2005;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Budju;;;07/12/2012;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2011;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Burning House;;;06/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;France ;Etats-Unis;;;;;;;2010;2012;;;;;;
